	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché	identifiant
2	die Grenze,n	la limite, la rontière	True	Monde	03	0	die Grenze	True	Grenze	0859
3	das Grenzgebiet, e	la région rontalière	True	Monde	03	0	das Grenzgebiet	True	Grenzgebiet	0860
4	der Grenzbewohner, -	le rontalier	True	Monde	03	0	der Grenzbewohner	True	Grenzbewohner	0861
5	angrenzend, benachbart	limitrophe 	True	Monde	03	0		False		0862
6	"das Grenzland, ""er"	le pays limitrophe	True	Monde	03	0	das Grenzland	True	Grenzland	0863
7	begrenzen	limiter	True	Monde	03	0		False		0864
8	ab-grenzen	délimiter	True	Monde	03	0		False		0865
9	einen Garten mit Hecken abgrenzen	délimiter un jardin avec des haies	True	Monde	03	0		False		0866
10	grenzen an+A	être attenant à/être contigu	True	Monde	03	0		False		0867
11	die Seite, n	le côté	True	Monde	03	0	die Seite	True	Seite	0868
12	beiderseits, diesseits, jenseits des	des deux côtés, de ce côté, <	True	Monde	03	0		False		0869
13	Rheins	l’autre côté du Rhin	True	Monde	03	0		False		0870
14	die Insel, n	l'île	True	Monde	03	0	die Insel	True	Insel	0871
15	Die Insel liegt gegenüber von	L'île est située au large de La Rochelle.	True	Monde	03	0		False		0872
16	La Rochelle, 	dans une île déserte du	True	Monde	03	0		False		0873
17	auf einer einsamen Insel im Pazifik	Pacifique	True	Monde	03	0		False		0874
18	der Inselbewohner, -/der Insulaner, -	l'insulaire 	True	Monde	03	0	der Inselbewohner	True	Inselbewohner	0875
19	ein insulares Klima	un climat insulaire	True	Monde	03	0		False		0876
20	von Wasser umgeben	entouré d'eau	True	Monde	03	0		False		0877
21	die kleine Insel	ilot 	True	Monde	03	0		False		0878
22	die Inselgruppe, n	Parchipel 	True	Monde	03	0	die Inselgruppe	True	Inselgruppe	0879
23	das Atoll, e	l'atoll 	True	Monde	03	0	das Atoll	True	Atoll	0880
24	die Küste, n	la côte, le littoral	True	Monde	03	0	die Küste	True	Küste	0881
25	sandig ; flach	sablonneux ; plat	True	Monde	03	0		False		0882
26	eingeschnitten ; steil	découpé ; escarpé	True	Monde	03	0		False		0883
27	das (Meeres)ufer, -, der Küstenstrich, e	le rivage	True	Monde	03	0	das (Meeres)ufer	True	(Meeres)ufer	0884
28	"das Kliff, e, der Steilhang, ""e"	la alaise	True	Monde	03	0	das Kliff	True	Kliff	0885
29	die Klippe, n	l’écueil , les brisants 	True	Monde	03	0	die Klippe	True	Klippe	0886
30	das Rift, e	le récif	True	Monde	03	0	das Rift	True	Rift	0887
31	"die Sandbank, ""e"	le banc de sable	True	Monde	03	0	die Sandbank	True	Sandbank	0888
32	der Sand	le sable	True	Monde	03	0	der Sand	True	Sand	0889
33	die Halbinsel, n	la presqu'ile	True	Monde	03	0	die Halbinsel	True	Halbinsel	0890
34	das Kap, s	le cap	True	Monde	03	0	das Kap	True	Kap	0891
35	die Nehrung, en	le cordon littaral	True	Monde	03	0	die Nehrung	True	Nehrung	0892
36	die Lagune, n, das Haff, e (Ostsee)	la lagune	True	Monde	03	0	die Lagune	True	Lagune	0893
37	das Relief, s/e	le relief	True	Monde	03	0	das Relief	True	Relief	0894
38	die Faltenbildung, en	le plissement	True	Monde	03	0	die Faltenbildung	True	Faltenbildung	0895
39	der (Höhen)sattel, ”, die Bodenwelle, n	l’anticlinal 	True	Monde	03	0	der (Höhen)sattel	True	(Höhen)sattel	0896
40	die Mulde, n	le synclinal	True	Monde	03	0	die Mulde	True	Mulde	0897
41	die Spalte, m	la faille	True	Monde	03	0	die Spalte	True	Spalte	0898
42	die Senkung, en/die Senke, n	la dépression	True	Monde	03	0	die Senkung	True	Senkung	0899
43	die Erosion, en	l'érosion 	True	Monde	03	0	die Erosion	True	Erosion	0900
44	die Gletschererosion	l'érosion glaciaire	True	Monde	03	0	die Gletschererosion	True	Gletschererosion	0901
45	das Flachland	le pays plat	True	Monde	03	0	das Flachland	True	Flachland	0902
46	Flach-, flach, eben	plat	True	Monde	03	0		False		0903
47	das Tiefland	les basses terres	True	Monde	03	0	das Tiefland	True	Tiefland	0904
48	das Hochland	les hautes terres	True	Monde	03	0	das Hochland	True	Hochland	0905
49	die Ebens, n	la plaine	True	Monde	03	0	die Ebens	True	Ebens	0906
50	die Hochebene	le plateau	True	Monde	03	0	die Hochebene	True	Hochebene	0907
51	die Anhöhe, n	la hauteur, le tertre	True	Monde	03	0	die Anhöhe	True	Anhöhe	0908
52	der Hügel, -	la colline, le coteau	True	Monde	03	0	der Hügel	True	Hügel	0909
53	der (Erd)hügel	la butte	True	Monde	03	0	der (Erd)hügel	True	(Erd)hügel	0910
54	das Hügelchen, -	le onticule	True	Monde	03	0	das Hügelchen	True	Hügelchen	0911
55	die Erhebung, en	l'éminence 	True	Monde	03	0	die Erhebung	True	Erhebung	0912
56	der Berg, &	la ontagne, le ont	True	Monde	03	0	der Berg	True	Berg	0913
57	das Gebirge	la ontagne, les onts	True	Monde	03	0	das Gebirge	True	Gebirge	0914
58	Gebirgs-, bergig	montagneux	True	Monde	03	0		False		0915
0	der Nullmeridian	le éridien d’origine /de Greenwich	True	Monde	03	1	der Nullmeridian	True	Nullmeridian	0916
1	die Himmelsrichtung, en	le point cardinal	True	Monde	03	1	die Himmelsrichtung	True	Himmelsrichtung	0917
2	die Richtung, en	la direction	True	Monde	03	1	die Richtung	True	Richtung	0918
3	der Horizont, e	l'horizon 	True	Monde	03	1	der Horizont	True	Horizont	0919
4	der Norden	le nord ; le Nord \	True	Monde	03	1	der Norden	True	Norden	0920
5	nördlich, Nord-	septentrional, du nord	True	Monde	03	1		False		0921
6	gegen Norden, nordwärts (adv)	nordique e	True	Monde	03	1		False		0922
7	nordisch	vers le nord, en direction du nord	True	Monde	03	1		False		0923
8	nördlich Münchens/von München	au nord de Munich	True	Monde	03	1		False		0924
9	im hohen Norden	dans le Grand Nord	True	Monde	03	1		False		0925
10	der Süden	le sud ; le Sud	True	Monde	03	1	der Süden	True	Süden	0926
11	südlich, Süd-	méridional, du sud	True	Monde	03	1		False		0927
12	südwärts (adv)	vers le sud	True	Monde	03	1		False		0928
13	südlich des Mains	au sud du Main	True	Monde	03	1		False		0929
14	von Norden nach Süden	du nord au sud	True	Monde	03	1		False		0930
15	der Osten	l'est ; l'Est	True	Monde	03	1	der Osten	True	Osten	0931
16	östlich, Ost-	oriental, de l'est	True	Monde	03	1		False		0932
17	ostwärts (adv)	vers l’est	True	Monde	03	1		False		0933
18	der Westen	l'ouest ; l'Ouest	True	Monde	03	1	der Westen	True	Westen	0934
19	westlich, West	occidental, de l’ouest	True	Monde	03	1		False		0935
20	westwärts (adv)	vers l’ouest	True	Monde	03	1		False		0936
21	von Westen nach Osten	de l'ouest à l’est/d'ouest en est	True	Monde	03	1		False		0937
22	der Nordosten ; der Nordwesten	le nord-est ; le nord-ouest	True	Monde	03	1	"der Nordosten
der"	True	"Nordosten
der"	0938
23	der Südosten ; der Südwesten	le sud-est ; le sud-ouest	True	Monde	03	1	"der Südosten
der"	True	"Südosten
der"	0939
24	der Kompass, e	la boussole	True	Monde	03	1	der Kompass	True	Kompass	0940
25	die Windrose	la rose des vents	True	Monde	03	1	die Windrose	True	Windrose	0941
26	in östlicher Richtung/in R. Osten	en direction de l’est	True	Monde	03	1		False		0942
27	in Richtung Berlin	en direction de Berlin	True	Monde	03	1		False		0943
28	in Richtung auf das Meer	en direction de la mer	True	Monde	03	1		False		0944
0	der Erdteil, e/der Kontinent, e	le continent	True	Monde	03	2	der Erdteil	True	Erdteil	0945
1	das Land	la terre 	True	Monde	03	2	das Land	True	Land	0946
2	das Festland	la terre erme	True	Monde	03	2	das Festland	True	Festland	0947
3	der (Erd)boden	le sol	True	Monde	03	2	der (Erd)boden	True	(Erd)boden	0948
4	die Oberfläche, die Fläche, n	la surface	True	Monde	03	2	die Oberfläche	True	Oberfläche	0949
5	"der Untergrund, ""e"	le sous-sol	True	Monde	03	2	der Untergrund	True	Untergrund	0950
6	die Bodenbeschaffenheit	la nature du sol	True	Monde	03	2	die Bodenbeschaffenheit	True	Bodenbeschaffenheit	0951
7	die Zone, n	la zone	True	Monde	03	2	die Zone	True	Zone	0952
8	die heiße/tropische, gemäßigte Zone	la zone tropicale, tempérée	True	Monde	03	2		False		0953
9	die Polarzone	la zone plaire	True	Monde	03	2	die Polarzone	True	Polarzone	0954
10	die Landschaft, en	le paysage, le site naturel	True	Monde	03	2	die Landschaft	True	Landschaft	0955
11	die Wüste, n	le désert	True	Monde	03	2	die Wüste	True	Wüste	0956
12	die Oase, n	l'oasis /m	True	Monde	03	2	die Oase	True	Oase	0957
13	die Luftspiegelung, en/die Fata Morgana, nen	le irage	True	Monde	03	2	die Luftspiegelung	True	Luftspiegelung	0958
14	die Pampa, s	la pampa	True	Monde	03	2	die Pampa	True	Pampa	0959
15	die Savanne, n	la savane	True	Monde	03	2	die Savanne	True	Savanne	0960
16	die Steppe, n	la steppe	True	Monde	03	2	die Steppe	True	Steppe	0961
17	die Taiga	la taïga	True	Monde	03	2	die Taiga	True	Taiga	0962
18	die Tundra, ren	la toundra	True	Monde	03	2	die Tundra	True	Tundra	0963
19	das Gebiet, e	le territoire ; la région	True	Monde	03	2	das Gebiet	True	Gebiet	0964
20	das Staatsgebiet	le territoire national	True	Monde	03	2	das Staatsgebiet	True	Staatsgebiet	0965
21	die Region, en, die Gegend, en	la région, la contrée	True	Monde	03	2	die Region	True	Region	0966
22	der Landstrich, e	la contrée 	True	Monde	03	2	der Landstrich	True	Landstrich	0967
23	der Ort, e	le lieu, le coin	True	Monde	03	2	der Ort	True	Ort	0968
24	die Stelle, n	l'endroit 	True	Monde	03	2	die Stelle	True	Stelle	0969
25	der Standort	l'emplacement ; la positic	True	Monde	03	2	der Standort	True	Standort	0970
26	die Lage, n	la situation, le site, l'emplacement 	True	Monde	03	2	die Lage	True	Lage	0971
0	der Bergbewohner, -	le ontagnard	True	Monde	04	0	der Bergbewohner	True	Bergbewohner	0972
1	die Gebirgskstte, n	la chaîne de ontagnes	True	Monde	04	0	die Gebirgskstte	True	Gebirgskstte	0973
2	das Gebirgsmassiv, e	le assif ontagneux	True	Monde	04	0	das Gebirgsmassiv	True	Gebirgsmassiv	0974
3	das Hochgebirge	la haute ontagne	True	Monde	04	0	das Hochgebirge	True	Hochgebirge	0975
4	das Vorgebirge, der Ausläufer, -	le contrefort	True	Monde	04	0	das Vorgebirge	True	Vorgebirge	0976
5	der Feisen, der Fels, en, en	le rocher, le roc	True	Monde	04	0	der Feisen	True	Feisen	0977
6	Felsen-, felsig	rocheux	True	Monde	04	0		False		0978
7	der Gipfel, -	le sommet, la cime, le aîte	True	Monde	04	0	der Gipfel	True	Gipfel	0979
8	die Spitze, n	l'aiguille , le piton	True	Monde	04	0	die Spitze	True	Spitze	0980
9	"der (Ab)hang, ""e"	le versant, la pente	True	Monde	04	0	der (Ab)hang	True	(Ab)hang	0981
10	der sanfte, steile Abhang	la pente douce, raide/abrup!	True	Monde	04	0		False		0982
11	die Böschung, en	le talus	True	Monde	04	0	die Böschung	True	Böschung	0983
12	ein steiler Weg	un chemin escarpé	True	Monde	04	0		False		0984
13	steil bergauf führen/gehen*, i, a	monter en pente raide	True	Monde	04	0		False		0985
14	sanft bergauf	en pente douce	True	Monde	04	0		False		0986
15	steil bergab führen/gehen‘, |, a	descendre à pie/en pente raide	True	Monde	04	0		False		0987
16	"die Wand, ""e"	la paroi	True	Monde	04	0	die Wand	True	Wand	0988
17	die Steilwand	la paroi abrupte	True	Monde	04	0	die Steilwand	True	Steilwand	0989
18	die Fessenwand	la paroi rocheuse	True	Monde	04	0	die Fessenwand	True	Fessenwand	0990
19	der Rücken, -	la croupe	True	Monde	04	0	der Rücken	True	Rücken	0991
20	"der Fuß, ""e"	le pied	True	Monde	04	0	der Fuß	True	Fuß	0992
21	der Grat, e	l’arête 	True	Monde	04	0	der Grat	True	Grat	0993
22	"der Kamm, ""e"	la crête	True	Monde	04	0	der Kamm	True	Kamm	0994
23	"der Grund, ""&"	le ond	True	Monde	04	0	der Grund	True	Grund	0995
24	der Abgrund	le précipice, le gouffre	True	Monde	04	0	der Abgrund	True	Abgrund	0996
25	"der Pass, ""e"	le col	True	Monde	04	0	der Pass	True	Pass	0997
26	der Engpass	le défilé	True	Monde	04	0	der Engpass	True	Engpass	0998
27	die Schlucht, en	la gorge	True	Monde	04	0	die Schlucht	True	Schlucht	0999
28	die Klarmm, en	la gorge 	True	Monde	04	0	die Klarmm	True	Klarmm	1000
29	die Klus, en	la cluse	True	Monde	04	0	die Klus	True	Klus	1001
30	der Cafon, 5	le canyon/cañon	True	Monde	04	0	der Cafon	True	Cafon	1002
31	der Hohlweg, e	le chemin creux	True	Monde	04	0	der Hohlweg	True	Hohlweg	1003
32	der Pfad, e ;der Saumpfad	le sentier ; le sentier uletie	True	Monde	04	0	der Pfad	True	Pfad	1004
33	die Höhle, n ; die Grotte, n	la caverne ; la grotte	True	Monde	04	0	die Höhle	True	Höhle	1005
34	der Tropfstein	la concrétion calcaire	True	Monde	04	0	der Tropfstein	True	Tropfstein	1006
35	der Stalaktit, en, en	la stalactite	True	Monde	04	0	der Stalaktit	True	Stalaktit	1007
36	der Stalagmit, en, en	la stalagmite	True	Monde	04	0	der Stalagmit	True	Stalagmit	1008
37	die Mulde, n	la cuvette, le bassin	True	Monde	04	0	die Mulde	True	Mulde	1009
38	der Kessel	le cirque	True	Monde	04	0	der Kessel	True	Kessel	1010
39	"das Tal, ""er ;das Tälchen, -"	la vallée ; le vallon	True	Monde	04	0	das Tal	True	Tal	1011
40	ein tief eingeschnittenes Tal	une vallée encaissée	True	Monde	04	0		False		1012
41	tief im Tal gelegen	situé au ond de la vallée	True	Monde	04	0		False		1013
42	der ewige Schnee	les neiges éternelles	True	Monde	04	0		False		1014
43	der Firn, e/ en, der Firnschnee	le névé	True	Monde	04	0	der Firn	True	Firn	1015
44	die Lawine, n	l'avalanche 	True	Monde	04	0	die Lawine	True	Lawine	1016
45	unter sich begraben, u, a, ä	ensevelir	True	Monde	04	0		False		1017
46	verschüttet werden	être enseveli	True	Monde	04	0		False		1018
47	der Gletscher, -	le glacier	True	Monde	04	0	der Gletscher	True	Gletscher	1019
48	die (Gletscher)spalte, n	la crevasse	True	Monde	04	0	die (Gletscher)spalte	True	(Gletscher)spalte	1020
49	die (Gletscher)moräne, n	la oraine	True	Monde	04	0	die (Gletscher)moräne	True	(Gletscher)moräne	1021
50	der Eisberg, e	l'iceberg 	True	Monde	04	0	der Eisberg	True	Eisberg	1022
51	dasEis	la glace	True	Monde	04	0		False		1023
52	"die Eisbank, ""e/das Packeis"	la banquise	True	Monde	04	0	die Eisbank	True	Eisbank	1024
53	das Tieibeis/Drifteis	les glaces lottantes	True	Monde	04	0	"das Tieibeis
das"	True	"Tieibeis
das"	1025
54	die Eisscholle, n	le glaçon	True	Monde	04	0	die Eisscholle	True	Eisscholle	1026
55	Eisschollen treiben, ie, ie	charrier des glaçons	True	Monde	04	0		False		1027
56	der Eisgang/das Eistreiben	la débâcle	True	Monde	04	0	"der Eisgang
das"	True	"Eisgang
das"	1028
0	die Ozeanographie/die Meereskunde	l'océanographie	True	Monde	04	1	"die Ozeanographie
die"	True	"Ozeanographie
die"	1029
1	die Meeresströmungen fol	les courants océaniques	True	Monde	04	1	die Meeresströmungen	True	Meeresströmungen	1030
2	der Meeresspiegel	le niveau de la er	True	Monde	04	1	der Meeresspiegel	True	Meeresspiegel	1031
3	der Ozean, e/das Weltmeer, e	l'océan 	True	Monde	04	1	der Ozean	True	Ozean	1032
4	das Meer, e/die See	la er	True	Monde	04	1	das Meer	True	Meer	1033
5	das Binnenmeer	la er intérieure	True	Monde	04	1	das Binnenmeer	True	Binnenmeer	1034
6	das Wasser	l’eau 	True	Monde	04	1	das Wasser	True	Wasser	1035
7	das Salzwasser	l'eau salée	True	Monde	04	1	das Salzwasser	True	Salzwasser	1036
8	der Salzgehalt	la salinité/la teneur en sel	True	Monde	04	1	der Salzgehalt	True	Salzgehalt	1037
9	salzhaltig	salin	True	Monde	04	1		False		1038
10	"der Salzgarten, """	le arais salant	True	Monde	04	1	der Salzgarten	True	Salzgarten	1039
11	die hohe See/die offene See	la haute er/le large	True	Monde	04	1		False		1040
12	aufhoher See	en pleine er	True	Monde	04	1		False		1041
13	das Küstengebiet, e	le littoral	True	Monde	04	1	das Küstengebiet	True	Küstengebiet	1042
14	die Wasserkante/Waterkant (nord)	la région côtière	True	Monde	04	1		False		1043
15	die Meerenge, n	le détroit	True	Monde	04	1	die Meerenge	True	Meerenge	1044
16	die Landenge	l'isthme 	True	Monde	04	1	die Landenge	True	Landenge	1045
17	die Bucht, en	la baie	True	Monde	04	1	die Bucht	True	Bucht	1046
18	die kleine Bucht	la crique/la calanque 	True	Monde	04	1		False		1047
19	die Einbuchtung, en	l'anse 	True	Monde	04	1	die Einbuchtung	True	Einbuchtung	1048
20	der Meerbusen, -, der Golf, e	le golfe	True	Monde	04	1	der Meerbusen	True	Meerbusen	1049
21	der Fjord, e	le fiord	True	Monde	04	1	der Fjord	True	Fjord	1050
22	die Gezeiten ip//die Tiden fpl	les arées 	True	Monde	04	1		False		1051
23	die Ebbe, n	la marée descendante/ le reflux/le jusant	True	Monde	04	1	die Ebbe	True	Ebbe	1052
24	die Flut, en	la marée montante/le lux/ le lot	True	Monde	04	1	die Flut	True	Flut	1053
25	Ebbe und Flut	le flux et le reflux	True	Monde	04	1		False		1054
26	bei steigender Flut	à marée ontante	True	Monde	04	1		False		1055
27	bei Ebbe	à marée descendante	True	Monde	04	1		False		1056
28	das Still-/Stauwasser	l'étale 	True	Monde	04	1		False		1057
29	Das Meer ist im Stau.	La er est étale.	True	Monde	04	1		False		1058
30	das Hochwasser	la arée haute/la pleine e	True	Monde	04	1	das Hochwasser	True	Hochwasser	1059
31	das Niedrigwasser	la arée basse	True	Monde	04	1	das Niedrigwasser	True	Niedrigwasser	1060
32	die Springflut, en	les grandes arées/marées de vive-eau	True	Monde	04	1	die Springflut	True	Springflut	1061
33	die Nippflut, en/Nipptide, n	les petites arées/marées de morte-eau	True	Monde	04	1	die Nippflut	True	Nippflut	1062
34	die Welle, n	la vague	True	Monde	04	1	die Welle	True	Welle	1063
35	die Brandung, en	le déferlement des vagues	True	Monde	04	1	die Brandung	True	Brandung	1064
36	branden (an -+A/gegen-+A)	se briser/déferler	True	Monde	04	1		False		1065
37	schäumen, Schaumkronen bilden	écumer, outonner	True	Monde	04	1		False		1066
38	die Woge, n	la grosse vague, la lame	True	Monde	04	1	die Woge	True	Woge	1067
39	die Grundses	la lame de ond	True	Monde	04	1	die Grundses	True	Grundses	1068
40	der Brecher, -	- la lame brisante, le paquet de mer	True	Monde	04	1	der Brecher	True	Brecher	1069
41	der/die Gischt	les embruns 	True	Monde	04	1	der Gischt	True	Gischt	1070
0	die Sprungwelle, n	le ascaret	True	Monde	05	0	die Sprungwelle	True	Sprungwelle	1071
1	"der Wellenkamm, ""e"	la crête de la vague	True	Monde	05	0	der Wellenkamm	True	Wellenkamm	1072
2	"das Wellental, ""er"	le creux de la vague	True	Monde	05	0	das Wellental	True	Wellental	1073
3	"der Wellenschlag, ""e"	le ressac	True	Monde	05	0	der Wellenschlag	True	Wellenschlag	1074
4	die Dünung, en	la houle	True	Monde	05	0	die Dünung	True	Dünung	1075
5	die Strömung, en ; gegen die Str.	le courant ; à contre-courant	True	Monde	05	0	die Strömung	True	Strömung	1076
6	Die See ist bewegt/stürmisch, geht hoch.	La er est agitée/houleuse, démontée, grosse.	True	Monde	05	0		False		1077
7	toben/wüten	être déchainée/ en urie	True	Monde	05	0		False		1078
8	Die See ist still.	La er est calme.	True	Monde	05	0		False		1079
9	eine (spiegel)glatte See	une er d'huile	True	Monde	05	0		False		1080
10	"der Strand, ""e"	la plage	True	Monde	05	0	der Strand	True	Strand	1081
11	der sandige Uferstreifen	la grève	True	Monde	05	0		False		1082
12	das (Brandungs)geröll/das Gerölle	les galets 	True	Monde	05	0	"das (Brandungs)geröll
das"	True	"(Brandungs)geröll
das"	1083
13	die Düne, n ; die Wanderdüne	la dune ; la dune ouvante	True	Monde	05	0	die Düne	True	Düne	1084
14	"der Wasserlauf, ""e"	le cours d’eau	True	Monde	05	0	der Wasserlauf	True	Wasserlauf	1085
15	das Süßwasser	l'eau douce	True	Monde	05	0	das Süßwasser	True	Süßwasser	1086
16	das Binnengewässer	les eaux continentales	True	Monde	05	0	das Binnengewässer	True	Binnengewässer	1087
17	das stehende Gewässer	les eaux dormantes	True	Monde	05	0		False		1088
18	das fließende Gewässer	les eaux courantes	True	Monde	05	0		False		1089
19	die Wasserscheide, n	la ligne de partage des eaux	True	Monde	05	0	die Wasserscheide	True	Wasserscheide	1090
20	das Einzugsgebiet, e	le bassin-versant/bassin	True	Monde	05	0	das Einzugsgebiet	True	Einzugsgebiet	1091
21	das Sickerwasser	d'alimentation	True	Monde	05	0	das Sickerwasser	True	Sickerwasser	1092
22	sickern* in+A, durch+A	les eaux d'infiltration	True	Monde	05	0		False		1093
23	sickert* aus+D	s'infiltrer dans, à travers	True	Monde	05	0		False		1094
24	das Grundwasser	suinter de les eaux souterraines	True	Monde	05	0	das Grundwasser	True	Grundwasser	1095
25	der Grundwasserspiegel	la nappe phréatique	True	Monde	05	0	der Grundwasserspiegel	True	Grundwasserspiegel	1096
26	die Quelle, n	la source	True	Monde	05	0	die Quelle	True	Quelle	1097
27	der Brunnen	le puits, la ontaine	True	Monde	05	0	der Brunnen	True	Brunnen	1098
28	die Heilquelle	la source inérale	True	Monde	05	0	die Heilquelle	True	Heilquelle	1099
29	quellen”, 0, 0, | (aus+D)	jaillir, sourdre	True	Monde	05	0		False		1100
30	entspringen“, a, u, in+D, auf+D	prendre sa source dans, sur	True	Monde	05	0		False		1101
31	rieseln	ruisseler	True	Monde	05	0		False		1102
32	"der Bach, ""e"	le ruisseau	True	Monde	05	0	der Bach	True	Bach	1103
33	murmeln	murmurer 	True	Monde	05	0		False		1104
34	rauschen	bruire, urmurer	True	Monde	05	0		False		1105
35	plätschern ; das Plätschern	clapoter ; le clapotis	True	Monde	05	0		False		1106
36	der Bergbach/der Sturzbach	letorrent	True	Monde	05	0	"der Bergbach
der"	True	"Bergbach
der"	1107
37	der Strudel	le remous	True	Monde	05	0	der Strudel	True	Strudel	1108
38	die Stromschnelle, n	le rapide	True	Monde	05	0	die Stromschnelle	True	Stromschnelle	1109
39	der Katarakt, e	la cataracte	True	Monde	05	0	der Katarakt	True	Katarakt	1110
40	"der Wasserfall, ""e"	la chute d’eau, la cascade	True	Monde	05	0	der Wasserfall	True	Wasserfall	1111
41	die Niagarafälle	les chutes du Niagara	True	Monde	05	0	die Niagarafälle	True	Niagarafälle	1112
42	brausen, tosen	gronder, ugir	True	Monde	05	0		False		1113
43	der (große) Fluss	le leuve	True	Monde	05	0	der (große)	True	(große)	1114
44	der Strom, 'e	le leuve	True	Monde	05	0	der Strom	True	Strom	1115
45	"der Fluss, ""e"	la rivière	True	Monde	05	0	der Fluss	True	Fluss	1116
46	am Fluss entlang/den Fluss entlang	le long de la rivière	True	Monde	05	0		False		1117
47	Köln liegt am Rhein.	Cologne est situé sur le Ahi	True	Monde	05	0		False		1118
48	fließen, 0, 0	couler	True	Monde	05	0		False		1119
49	strömen*	couler 	True	Monde	05	0		False		1120
50	Die Ems fließt in den Rhein.	L'Ems se jette dans le Rhin.	True	Monde	05	0		False		1121
51	durchfließen, 0, 0 ir	lraverser, arroser	True	Monde	05	0		False		1122
52	"der Nebenfluss, ""e"	l'affluent 	True	Monde	05	0	der Nebenfluss	True	Nebenfluss	1123
53	ein rechter Nebenfluss	un affluent de la rive droite	True	Monde	05	0		False		1124
54	zusammen-fließen*, o, 0 (mit+D)	confluer	True	Monde	05	0		False		1125
55	der Zusammenfluss	le confluent	True	Monde	05	0	der Zusammenfluss	True	Zusammenfluss	1126
56	das Ufer, -	la rive/le bord	True	Monde	05	0	das Ufer	True	Ufer	1127
57	das steile Ufer, die Uferböschung, en	la berge	True	Monde	05	0		False		1128
58	an den Ufern der Donau	sur les bords du Danube	True	Monde	05	0		False		1129
59	am Ufer des Stroms	au bord du leuve	True	Monde	05	0		False		1130
60	am Wasser	au bord de l’eau	True	Monde	05	0		False		1131
61			True	Monde	05	0		False		1132
0	das (Fluss)bett, en	le lit	True	Monde	05	1	das (Fluss)bett	True	(Fluss)bett	1133
1	"der Lauf, ""e"	le cours	True	Monde	05	1	der Lauf	True	Lauf	1134
2	der Ober-, Unterlauf	le cours supérieur, inférieur	True	Monde	05	1		False		1135
3	die Strömung, en	le courant	True	Monde	05	1	die Strömung	True	Strömung	1136
4	die Abflussmenge, n, die Wasserführung	le débit	True	Monde	05	1	die Abflussmenge	True	Abflussmenge	1137
5	das Gefälle	la pente	True	Monde	05	1	das Gefälle	True	Gefälle	1138
6	die Schleife, n	la boucle	True	Monde	05	1	die Schleife	True	Schleife	1139
7	die Windung, en, der Mäander, -	le éandre	True	Monde	05	1	die Windung	True	Windung	1140
8	en gewundener Lauf	un Cours sinueux	True	Monde	05	1		False		1141
9	sich schlängeln durch+A	serpenter à travers	True	Monde	05	1		False		1142
10	die Mündung, en	l'embouchure 	True	Monde	05	1	die Mündung	True	Mündung	1143
11	die Trichtermündung, der Trichter, -	l'estuaire 	True	Monde	05	1	die Trichtermündung	True	Trichtermündung	1144
12	(ein)münden*, sich ergießen, 0, 0, in+A	se jeter dans	True	Monde	05	1		False		1145
13	das Delta, s/ten	le delta	True	Monde	05	1	das Delta	True	Delta	1146
14	das Stromgebiet, e	le bassin 	True	Monde	05	1	das Stromgebiet	True	Stromgebiet	1147
15	bewässern	arroser/irriguer	True	Monde	05	1		False		1148
16	die Bewässerung	l'irrigation 	True	Monde	05	1	die Bewässerung	True	Bewässerung	1149
17	de Alluvionen fpl, die Ablagerungen fpl	les alluvions 	True	Monde	05	1		False		1150
18	die Furt, en	le gué	True	Monde	05	1	die Furt	True	Furt	1151
19	das Moor, e	le arais	True	Monde	05	1	das Moor	True	Moor	1152
20	"der Sumpf, ""e"	le arécage	True	Monde	05	1	der Sumpf	True	Sumpf	1153
21	"er Schlick, e, der Schlamm, e/""e"	la vase, la boue	True	Monde	05	1		False		1154
22	verschlamment itr ; verschlämmen tr	s'envaser ; envaser tr	True	Monde	05	1		False		1155
23	versanden* itr	s’enliser, s’ensabler	True	Monde	05	1		False		1156
24	der Wasserstand	la hauteur d'eau	True	Monde	05	1	der Wasserstand	True	Wasserstand	1157
25	die Pegelhöhe/der Pegelstand	le niveau d’un cours d’eau	True	Monde	05	1	"die Pegelhöhe
der"	True	"Pegelhöhe
der"	1158
26	der niedrigste Wasserstand	l'étiage 	True	Monde	05	1		False		1159
27	das Hochwasser	les hautes eaux, la crue	True	Monde	05	1	das Hochwasser	True	Hochwasser	1160
28	cas Niedrigwasser	les basses eaux	True	Monde	05	1		False		1161
29	das Sinken, das Fallen des Wassers	la décrue	True	Monde	05	1	das Sinken	True	Sinken	1162
30	an-stelgen*, ie, ie ; ab-sinken*, a, u	monter ; baisser, décroître	True	Monde	05	1		False		1163
31	Das Gewässer steigt an.	Les eaux ontent.	True	Monde	05	1		False		1164
32	Das Gewässer sinkt ab.	Les eaux baissent.	True	Monde	05	1		False		1165
33	über die Ufer treten*, a, e, |	déborder, sortir de son lit	True	Monde	05	1		False		1166
34	die Überschwemmung, en	l'inondation 	True	Monde	05	1	die Überschwemmung	True	Überschwemmung	1167
35	eine Gegend überschwemmen	inonder une région	True	Monde	05	1		False		1168
36	Die Überschwemmung geht zurück.	C'est la décrue.	True	Monde	05	1		False		1169
