	German_voc	French_voc	Aligned	Thème	Page	Rectangle	German_Noun	is_taken	Nom_recherché
26	der niedrigste Wasserstand	l'étiage 	True	Monde	05	1		False	
27	das Hochwasser	les hautes eaux, la crue	True	Monde	05	1	das Hochwasser	True	Hochwasser
28	cas Niedrigwasser	les basses eaux	True	Monde	05	1		False	
29	das Sinken, das Fallen des Wassers	la décrue	True	Monde	05	1	das Sinken	True	Sinken
30	an-stelgen*, ie, ie ; ab-sinken*, a, u	monter ; baisser, décroître	True	Monde	05	1		False	
31	Das Gewässer steigt an.	Les eaux ontent.	True	Monde	05	1		False	
32	Das Gewässer sinkt ab.	Les eaux baissent.	True	Monde	05	1		False	
33	über die Ufer treten*, a, e, |	déborder, sortir de son lit	True	Monde	05	1		False	
34	die Überschwemmung, en	l'inondation 	True	Monde	05	1	die Überschwemmung	True	Überschwemmung
35	eine Gegend überschwemmen	inonder une région	True	Monde	05	1		False	
36	Die Überschwemmung geht zurück.	C'est la décrue.	True	Monde	05	1		False	
37	die Trockenlegung	l’assèchement 	True	Monde	05	1	die Trockenlegung	True	Trockenlegung
38	ein Moor trocken-legen	assécher un arais	True	Monde	05	1		False	
39	der Abzugsgraben,', die Rinne, n	la rigle	True	Monde	05	1	der Abzugsgraben	True	Abzugsgraben
40	"der Graben, """	le ossé	True	Monde	05	1	der Graben	True	Graben
41	das Wadi, s	loued 	True	Monde	05	1	das Wadi	True	Wadi
42	versiegen* ; versiegt sein	se tarir ; être tari/à sec	True	Monde	05	1		False	
43	"der Kanal, ""e"	le canal	True	Monde	05	1	der Kanal	True	Kanal
44	die Schleuse, n	l'écluse 	True	Monde	05	1	die Schleuse	True	Schleuse
45	der Schleusenwärter, -	léclusier 	True	Monde	05	1	der Schleusenwärter	True	Schleusenwärter
46	das Schleusentor	la vanne	True	Monde	05	1	das Schleusentor	True	Schleusentor
47	die Schleusenkammer, n	le sas	True	Monde	05	1	die Schleusenkammer	True	Schleusenkammer
48	das Schleusenbecken, -	le bief	True	Monde	05	1	das Schleusenbecken	True	Schleusenbecken
49	strom-, flussaufwärts	en amont	True	Monde	05	1		False	
50	strom-, fluss-, talabwärts	en aval	True	Monde	05	1		False	
51	oberhalb+G	en amont de/au-dessus de	True	Monde	05	1		False	
52	unterhalb+G	en aval de/au-dessous de	True	Monde	05	1		False	
53	das Stauwerk, e, die Talsperre, n	le barrage	True	Monde	05	1	das Stauwerk	True	Stauwerk
54	"der Staudamm, ""e"	la digue de retenue	True	Monde	05	1	der Staudamm	True	Staudamm
55	"der Dammbruch, ""&"	la rupture de digue	True	Monde	05	1	der Dammbruch	True	Dammbruch
56	der (Binnen)see, n	le lac	True	Monde	05	1	der (Binnen)see	True	(Binnen)see
57	der Stausee	le lac de retenue	True	Monde	05	1	der Stausee	True	Stausee
58	ein künstlich angelegter See	un lac artificiel	True	Monde	05	1		False	
59	der Teich, e	l'étang 	True	Monde	05	1	der Teich	True	Teich
60			True	Monde	05	1		False	
61			True	Monde	05	1		False	
0	das Hochdruckgebiet, e	la zone de haute pression	True	Monde	06	0	das Hochdruckgebiet	True	Hochdruckgebiet
1	die Feuchtigkeit ; feucht	l'humidité ; humide	True	Monde	06	0	die Feuchtigkeit	True	Feuchtigkeit
2	die Verdunstung ; verdunsten*	l'évaporation ; s'évaporer	True	Monde	06	0	die Verdunstung	True	Verdunstung
3	die Kaltfront, Warmfront	le front roid, chaud	True	Monde	06	0	die Kaltfront	True	Kaltfront
4	die Wetterbesserung	l'amélioration 	True	Monde	06	0	die Wetterbesserung	True	Wetterbesserung
5	besser werden	s'améliorer	True	Monde	06	0		False	
6	die Aufheiterung, en	l’éclaircie /l'embellie 	True	Monde	06	0	die Aufheiterung	True	Aufheiterung
7	Es klärt sich auf.	Le temps s'éclaircit.	True	Monde	06	0		False	
8	die Störung, en	la perturbation	True	Monde	06	0	die Störung	True	Störung
9	der Witterungsumschlag	le changement de temps	True	Monde	06	0	der Witterungsumschlag	True	Witterungsumschlag
10	sich verschlechtern	se dégrader	True	Monde	06	0		False	
11	wechselhaft/veränderlich	variable	True	Monde	06	0		False	
12	unbeständig	instable	True	Monde	06	0		False	
13	die Wärme ; die Hitze	la chaleur ; la grande chaleur	True	Monde	06	0	"die Wärme
die"	True	"Wärme
die"
14	die Hitzewelle, n	la vague de chaleur	True	Monde	06	0	die Hitzewelle	True	Hitzewelle
15	die Schwüle	la chaleur lourde	True	Monde	06	0	die Schwüle	True	Schwüle
16	Es weht kein Lüftchen.	Il n'y a pas un souffle d’air.	True	Monde	06	0		False	
17	Es ist warm, heiß, schwül.	Il ait chaud, très chaud, lourd.	True	Monde	06	0		False	
18	Es ist drückend heiß.	Il ait une chaleur accablante.	True	Monde	06	0		False	
19	Mir ist warm, heiß.	J'ai chaud, très chaud.	True	Monde	06	0		False	
20	vor Hitze vergehen‘, i, a	mourir de chaleur	True	Monde	06	0		False	
21	in den Schatten gehen“, I, a	aller/se ettre à l'ombre	True	Monde	06	0		False	
22	im Schatten gehen‘, |, a	marcher à l'ombre	True	Monde	06	0		False	
23	die Hundstagshitze	la canicule, la chaleur caniculaire	True	Monde	06	0	die Hundstagshitze	True	Hundstagshitze
24	die Trockenheit ‚trocken	la sécheresse ; sec	True	Monde	06	0	die Trockenheit	True	Trockenheit
25	die Dürre, n	la grande sécheresse	True	Monde	06	0	die Dürre	True	Dürre
26	die Milde	la douceur, la tiédeur	True	Monde	06	0	die Milde	True	Milde
27	mild	doux, tiède	True	Monde	06	0		False	
28	die Frische, die Kühle ; frisch, kühl	la raicheur : rais	True	Monde	06	0	die Frische	True	Frische
29	Es ist frischer/kühler geworden.	Le temps s'est rafraichi.	True	Monde	06	0		False	
30	die Kälte	le roid	True	Monde	06	0	die Kälte	True	Kälte
31	"der Frost, ""e"	la gelée, le gel	True	Monde	06	0	der Frost	True	Frost
32	Es ist mir kalt.	J'ai roid.	True	Monde	06	0		False	
33	kälteempfindlich sein	être rileux	True	Monde	06	0		False	
34	vor Kälte zittern	trembler de roid	True	Monde	06	0		False	
35	Es ist kalt, eisig kalt.	Il ait roid, un roid glacial.	True	Monde	06	0		False	
36	Es ist nasskalt.	I! ait un roid humide.	True	Monde	06	0		False	
37	Es herrscht eine Hundekälte, (fam)	Il ait un roid de canard.	True	Monde	06	0		False	
38	frieren, 0, 0; es friert	geler : il gèle	True	Monde	06	0		False	
39	Ich friere.	le gèle/le suis gelé.	True	Monde	06	0		False	
40	ganz durchgefroren sein	être transi, rigorifié	True	Monde	06	0		False	
41	im Schnee erfrieren*, 0, 0	mourir de roid dans la neige	True	Monde	06	0		False	
42	Die Finger sind ihm erfroren.	Il a eu les doigts gelés.	True	Monde	06	0		False	
43	das Eis ; das Glatteis	la glace ; le verglas	True	Monde	06	0	"das Eis
das"	True	"Eis
das"
44	vereisen*	se couvrir de glace	True	Monde	06	0		False	
45	eine vereiste/eisglatte Straße	une route verglacée	True	Monde	06	0		False	
46	zu-frieren*, 0, 0	geler 	True	Monde	06	0		False	
47	Das Schiff ist auf dem See eingefroren.	| Le bateau a été pris dans les glaces du lac.	True	Monde	06	0		False	
48	der Schnee	la neige	True	Monde	06	0	der Schnee	True	Schnee
49	schneien : es schneit	| neiger : il neige	True	Monde	06	0		False	
50	die Schneeflocke, n	: le lacon de neige	True	Monde	06	0	die Schneeflocke	True	Schneeflocke
51	die Schneedecke	| la couche de neige	True	Monde	06	0	die Schneedecke	True	Schneedecke
52	der Harsch	la neige gelée	True	Monde	06	0	der Harsch	True	Harsch
53	der Pulverschnee	la neige poudreuse	True	Monde	06	0	der Pulverschnee	True	Pulverschnee
54	das Schneetreiben/Schneegestöber	la tourmente de neige	True	Monde	06	0	"das Schneetreiben
das"	True	"Schneetreiben
das"
55	die Schneewehe, n	la congère	True	Monde	06	0	die Schneewehe	True	Schneewehe
56	das Tauwetter ; auf-tauen*	| le dégel ; dégeler	True	Monde	06	0	das Tauwetter	True	Tauwetter
57	Es taut./Wir haben Tauwetter.	| C'est le dégel./ : Le temps est au dégel.	True	Monde	06	0		False	
58	die Schneeschmelze	la onte des neiges	True	Monde	06	0	die Schneeschmelze	True	Schneeschmelze
59	schmelzen*, 0, 0, i	fondre	True	Monde	06	0		False	
0	das Klima, s/te	le climat	True	Monde	06	1	das Klima	True	Klima
1	die Klimakunde |	la climatologie	True	Monde	06	1	die Klimakunde	True	Klimakunde
2	das Landklima/Kontinentalklima	le climat continental	True	Monde	06	1	"das Landklima
das"	True	"Landklima
das"
3	das Gebirgsklima/Höhenklima	le climat de ontagne	True	Monde	06	1	"das Gebirgsklima
das"	True	"Gebirgsklima
das"
4	das Seeklima	le climat aritime	True	Monde	06	1	das Seeklima	True	Seeklima
5	das ozeanische Klima |	le climat océanique	True	Monde	06	1		False	
6	das Tropanklima/das tropische Klima	le climat tropical	True	Monde	06	1		False	
7	in den Tropen fol Ä	sous les tropiques 	True	Monde	06	1		False	
8	ein rauhes Klima	un climat rude, rigoureux	True	Monde	06	1		False	
9	gesund	salubre, sain	True	Monde	06	1		False	
10	ungesund	insalubre	True	Monde	06	1		False	
11	das Wetter, /die Witterung	le temps 	True	Monde	06	1	das Wetter	True	Wetter
12	die Weiterkunde, der Wetterdienst	la étéo	True	Monde	06	1	die Weiterkunde	True	Weiterkunde
13	die \Vettervorhersage, n	les prévisions météorologiques	True	Monde	06	1	die \Vettervorhersage	True	\Vettervorhersage
14	der Wetterbericht, e	le bulletin étéorologique	True	Monde	06	1	der Wetterbericht	True	Wetterbericht
15	die Wetterlage, n	la situation du temps	True	Monde	06	1	die Wetterlage	True	Wetterlage
16	die \Vetterkarte, n	la carte étéorologique	True	Monde	06	1	die \Vetterkarte	True	\Vetterkarte
17	die Erdatmosphäre	l'atmosphère terrestre	True	Monde	06	1	die Erdatmosphäre	True	Erdatmosphäre
18	"die Luft, ""e"	l’air 	True	Monde	06	1	die Luft	True	Luft
19	die Luftschichten fpl	les couches ; d'air	True	Monde	06	1	die Luftschichten	True	Luftschichten
20	die Luftmassen	les asses d'air	True	Monde	06	1	die Luftmassen	True	Luftmassen
21	die Troposphäre	la troposphère	True	Monde	06	1	die Troposphäre	True	Troposphäre
22	die Straiosphäre	la stratosphère	True	Monde	06	1	die Straiosphäre	True	Straiosphäre
23	die Temperatur, en	la température	True	Monde	06	1	die Temperatur	True	Temperatur
24	steigen“, ie, ie	être en hausse	True	Monde	06	1		False	
25	fallen‘, ie, a,ä	être en baisse	True	Monde	06	1		False	
26	die Durchschnittstemperatur	la température oyenne	True	Monde	06	1	die Durchschnittstemperatur	True	Durchschnittstemperatur
27	das Thermometer	le thermomètre	True	Monde	06	1	das Thermometer	True	Thermometer
28	10 Grad über, unter null zeigen	Indiquer 10 degrés au-dessus, au-dessous de zéro	True	Monde	06	1		False	
29	der Luftdruck	la pression atmosphérique	True	Monde	06	1	der Luftdruck	True	Luftdruck
30	das Barometer, -	le baromètre	True	Monde	06	1	das Barometer	True	Barometer
31	die Quecksilbersäule	la colonne de ercure	True	Monde	06	1	die Quecksilbersäule	True	Quecksilbersäule
32	auf Regen, auf schön, beständig schön stehen, a, a	êire à la pluie, au beau, au beau ixe	True	Monde	06	1		False	
33	die Isobare, n	l'isgbare 	True	Monde	06	1	die Isobare	True	Isobare
34	das Tief, s	la dépression, le cyclone	True	Monde	06	1	das Tief	True	Tief
35	das Hoch, s	l'anticyclone 	True	Monde	06	1	das Hoch	True	Hoch
36	das Tiefdruckgebiet, e	la zone de basse pression	True	Monde	06	1	das Tiefdruckgebiet	True	Tiefdruckgebiet
0	Der Schnee ist geschmolzen.	La neige a ondu.	True	Monde	07	0		False	
1	der Schnegmatsch	la neige ondue	True	Monde	07	0	der Schnegmatsch	True	Schnegmatsch
2	der Eisgang	la débâcle	True	Monde	07	0	der Eisgang	True	Eisgang
3	die Wolke, n	le nuage	True	Monde	07	0	die Wolke	True	Wolke
4	die Bewölkung	les nuages , la nébulosité	True	Monde	07	0	die Bewölkung	True	Bewölkung
5	die Haufenwolke/der Kumulus, Ii	le cumulus	True	Monde	07	0	"die Haufenwolke
der"	True	"Haufenwolke
der"
6	die Federwolke/der Cirrus, ri	le cirrus	True	Monde	07	0	"die Federwolke
der"	True	"Federwolke
der"
7	der Cirrokumulus/die Schäfchenwolke	le cirro-cumulus/le nuage moutonné	True	Monde	07	0	"der Cirrokumulus
die"	True	"Cirrokumulus
die"
8	die Regenwolke/der Nimbus (vx)	le nimbus	True	Monde	07	0		False	
9	die Schichtwolke/der Stratus, ti	le stratus	True	Monde	07	0	"die Schichtwolke
der"	True	"Schichtwolke
der"
10	ein bewölkter Himmel	un ciel nuageux, un ciel bas	True	Monde	07	0		False	
11	ein wolkenloser Himmel	un ciel dégagé, sans nuages	True	Monde	07	0		False	
12	sich (mit Wolken) bedecken	se couvrir 	True	Monde	07	0		False	
13	der Regen; im Regen	la pluie; sous la pluie	True	Monde	07	0	der Regen	True	Regen
14	die Regenfälle mp/	les pluies, les chutes de pluie	True	Monde	07	0	die Regenfälle	True	Regenfälle
15	die Niederschläge mpl	les précipitations 	True	Monde	07	0	die Niederschläge	True	Niederschläge
16	die Niederschlagsmenge	la pluviosité	True	Monde	07	0	die Niederschlagsmenge	True	Niederschlagsmenge
17	der Niederschlagsmesser, -	le pluviomètre	True	Monde	07	0	der Niederschlagsmesser	True	Niederschlagsmesser
18	die Regenzeit	la saison des pluies	True	Monde	07	0	die Regenzeit	True	Regenzeit
19	ein regnerischer Tag	une journée pluvieuse	True	Monde	07	0		False	
20	ein trübes Wetter	un temps aussade	True	Monde	07	0		False	
21	regnen : es regnet	pleuvoir : il pleut	True	Monde	07	0		False	
22	der Regentropfen, -	la goutte de pluie	True	Monde	07	0	der Regentropfen	True	Regentropfen
23	tröpfeln : es tröpfelt	pleuvasser : il pleuvasse	True	Monde	07	0		False	
24	der Regenschauer, -, der Platzregen, -	l'averse 	True	Monde	07	0	der Regenschauer	True	Regenschauer
25	"der Regenguss, ""e"	l'ondée 	True	Monde	07	0	der Regenguss	True	Regenguss
26	der Aprilschauer, -	la giboulée de mars	True	Monde	07	0	der Aprilschauer	True	Aprilschauer
27	gießen, o, ossen	pleuvoir fort	True	Monde	07	0		False	
28	Es gießt (in Strömen).	Il pleut à verse/à torrents.	True	Monde	07	0		False	
29	"der Wolkenbruch,""e"	la pluie torrentielle, diluvienne	True	Monde	07	0	der Wolkenbruch	True	Wolkenbruch
30	die Sintflut	le déluge	True	Monde	07	0	die Sintflut	True	Sintflut
31	Was für ein Unwetter !	Quel auvais temps !	True	Monde	07	0		False	
32	das Gewitter	l’orage 	True	Monde	07	0	das Gewitter	True	Gewitter
33	gewittrig : es sieht gewittrig aus	orageux : il ait orageux	True	Monde	07	0		False	
34	ein heftiges Gewitter	un vilent orage	True	Monde	07	0		False	
35	drohen ;nahen*	menacer ; approcher	True	Monde	07	0		False	
36	weiter-ziehen”, 0, 0	s'éloigner	True	Monde	07	0		False	
37	los-brechen*, a, o, |	éclater	True	Monde	07	0		False	
38	nieder--gehen*, i, a (über+D)	s'abattre	True	Monde	07	0		False	
39	der Blitz, e	l'éclair ; la oudre	True	Monde	07	0	der Blitz	True	Blitz
40	Es blitzt.	Il ya des éclairs.	True	Monde	07	0		False	
41	Der Blitz hat eingeschlagen.	La oudre est tombée.	True	Monde	07	0		False	
42	vom Blitz getroffen/erschlagen werden	être oudroyé	True	Monde	07	0		False	
43	der Blitzableiter, -	le paratonnerre	True	Monde	07	0	der Blitzableiter	True	Blitzableiter
44	der Donner ; donnern	le tonnerre ; tonner	True	Monde	07	0	der Donner	True	Donner
45	Es donnert.	lltonne./Le tonnerre gronde.	True	Monde	07	0		False	
46	"der Donnerschlag, ""e"	le coup de tonnerre	True	Monde	07	0	der Donnerschlag	True	Donnerschlag
47	das Wetterleuchten	les éclairs de chaleur	True	Monde	07	0	das Wetterleuchten	True	Wetterleuchten
48	der Regenbogen, -	l’arc-en-ciel 	True	Monde	07	0	der Regenbogen	True	Regenbogen
49	"der Hagel ; das Hagelkorn, ""er"	la grêle ; le grêlon	True	Monde	07	0	"der Hagel
das"	True	"Hagel
das"
50	hageln : es hagelt	grêler : il grêle	True	Monde	07	0		False	
51	die Graupeln fpl: es graupelt	le grésil : il tombe du grésil	True	Monde	07	0		False	
52	der Nieselregen/der Sprühregen	la bruine/le crachin	True	Monde	07	0	"der Nieselregen
der"	True	"Nieselregen
der"
53	nieseln : es nieselt	bruiner : il bruine	True	Monde	07	0		False	
54	der Nebel, -	le brouillard	True	Monde	07	0	der Nebel	True	Nebel
55	der Frühnebel	le brouillard atinal	True	Monde	07	0	der Frühnebel	True	Frühnebel
56	der Frostnebel	le brouillard givrant	True	Monde	07	0	der Frostnebel	True	Frostnebel
57	eine Waschküche (fam)	une purée de poix	True	Monde	07	0		False	
58	der leichte Nebel, der Dunst	la brume	True	Monde	07	0		False	
59	der Rauhreif	le givre	True	Monde	07	0	der Rauhreif	True	Rauhreif
0	der Tau	la rosée	True	Monde	07	1	der Tau	True	Tau
1	der Reif	la gelée blanche	True	Monde	07	1	der Reif	True	Reif
2	der Wind, e	le vent	True	Monde	07	1	der Wind	True	Wind
3	ein windiger Tag	une journée venteuse	True	Monde	07	1		False	
4	das Windmassgerät, e/der Windmasser, -	l'anémomètre 	True	Monde	07	1	das Windmassgerät	True	Windmassgerät
5	die Windstärke, n	la orce du vent	True	Monde	07	1	die Windstärke	True	Windstärke
6	die Wetterfahne, n	la girouette	True	Monde	07	1	die Wetterfahne	True	Wetterfahne
7	wehen, blasen, ie, a, ä	souffler	True	Monde	07	1		False	
8	nach-lassen, ie, a, ä, ab-nehmen, a, 0, i	se calmer	True	Monde	07	1		False	
9	sich legen, ab-flauen*	tomber, s'apaiser	True	Monde	07	1		False	
10	die Windstille, die Flaute, n	le calme plat	True	Monde	07	1	die Windstille	True	Windstille
11	die vorübergehende Windstille	l’accalmie	True	Monde	07	1		False	
12	die Luftströmungen fol	les courant atmosphériques	True	Monde	07	1	die Luftströmungen	True	Luftströmungen
13	der Lufthauch	le souffle d'air	True	Monde	07	1	der Lufthauch	True	Lufthauch
14	der Nordwind	le vent du nord	True	Monde	07	1	der Nordwind	True	Nordwind
15	der Nord(ost)wind	la bise	True	Monde	07	1	der Nord(ost)wind	True	Nord(ost)wind
16	der Blizzard, s	le blizzard	True	Monde	07	1	der Blizzard	True	Blizzard
17	der Nordwester/der Nordwestwind	le noroît	True	Monde	07	1	"der Nordwester
der"	True	"Nordwester
der"
18	der Südwestwind	le suroit	True	Monde	07	1	der Südwestwind	True	Südwestwind
19	sich erheben, o, o	se lever	True	Monde	07	1		False	
20	um-schlagen*, u, a, ä	tourner	True	Monde	07	1		False	
21	der Seewind	le vent du large	True	Monde	07	1	der Seewind	True	Seewind
22	die Brise, n	la brise	True	Monde	07	1	die Brise	True	Brise
23	"; der Windstoß, ""e"	le coup de vent, la bourrasqu	True	Monde	07	1		False	
24	die Bö, en	la rafale, le grain	True	Monde	07	1	die Bö	True	Bö
25	"der Sturm, ""e"	la tempête	True	Monde	07	1	der Sturm	True	Sturm
26	Es stürmt.	IL y a de la tempête.	True	Monde	07	1		False	
27	toben, wüten	faire rage	True	Monde	07	1		False	
28	sich legen	se calmer	True	Monde	07	1		False	
29	in einen Sturm geraten‘, ie, a, ä	être pris dans une tempête	True	Monde	07	1		False	
30	die Windhose, n	la trombe	True	Monde	07	1	die Windhose	True	Windhose
31	"der Wirbelsturm, ""e, der Zyklon, e"	le cyclone	True	Monde	07	1	der Wirbelsturm	True	Wirbelsturm
32	der Tornardo, s	la tornade	True	Monde	07	1	der Tornardo	True	Tornardo
33	der Orkan, e	l'ouragan 	True	Monde	07	1	der Orkan	True	Orkan
34	der Taifun, e	le typhon	True	Monde	07	1	der Taifun	True	Taifun
35	der Passat, e	l'alizé 	True	Monde	07	1	der Passat	True	Passat
36	der Föhn, e	le ehn	True	Monde	07	1	der Föhn	True	Föhn
37	der Mistral, e	le istral 	True	Monde	07	1	der Mistral	True	Mistral
38	der Monsun, e	la ousson	True	Monde	07	1	der Monsun	True	Monsun
39	der Samum, s/e	le simoun	True	Monde	07	1	der Samum	True	Samum
40	der Schirokko, s	le sirocco	True	Monde	07	1	der Schirokko	True	Schirokko
41	die Tramontana, nen/Tramontane, n	la tramontane	True	Monde	07	1	die Tramontana	True	Tramontana
0	die Geologie	la géologie	True	Monde	08	0	die Geologie	True	Geologie
1	der Geologe, n,n	le géologue	True	Monde	08	0	der Geologe	True	Geologe
2	das Erdzeitalter	Père , la période	True	Monde	08	0	das Erdzeitalter	True	Erdzeitalter
3	das Präkambrium	le précambrien	True	Monde	08	0	das Präkambrium	True	Präkambrium
4	das Paläozoikum	le paléozaïque/l'ère primair	True	Monde	08	0	das Paläozoikum	True	Paläozoikum
5	das Mesozoikum/das Erdmittelalter	le ésozoïque/ l'ère secondaire	True	Monde	08	0	"das Mesozoikum
das"	True	"Mesozoikum
das"
6	das Tertiär	le cénozoïque/l’ère tertiaire	True	Monde	08	0	das Tertiär	True	Tertiär
7	das Quartär	l'ère quaternaire	True	Monde	08	0	das Quartär	True	Quartär
8	die Paläontologie	la paléontologie	True	Monde	08	0	die Paläontologie	True	Paläontologie
9	das Fossil, ien ; fossil	le ossile ; ossile	True	Monde	08	0	das Fossil	True	Fossil
10	das pflanzliche Fossil	le ossile végétal	True	Monde	08	0		False	
11	das tierische Fossil	le ossile animal	True	Monde	08	0		False	
12	fossilisieren	fossiliser	True	Monde	08	0		False	
13	die Versteinerung	la pétrification	True	Monde	08	0	die Versteinerung	True	Versteinerung
14	versteinert	pétrifié ; ossilisé	True	Monde	08	0		False	
15	die Bodentorschung	la pédologie	True	Monde	08	0	die Bodentorschung	True	Bodentorschung
16	die Mineralogie	la inéralogie	True	Monde	08	0	die Mineralogie	True	Mineralogie
17	das Mineralreich	le règne inéral	True	Monde	08	0	das Mineralreich	True	Mineralreich
18	die Kristallographie	la cristallagraphie	True	Monde	08	0	die Kristallographie	True	Kristallographie
19	die Gesteinskunde/Petrographie	la petrographie	True	Monde	08	0	"die Gesteinskunde
die"	True	"Gesteinskunde
die"
20	das Gestein, e	la roche	True	Monde	08	0	das Gestein	True	Gestein
21	das Agglomerat, e	l'agglomérat 	True	Monde	08	0	das Agglomerat	True	Agglomerat
22	das Konglomerat, e	le conglomérat	True	Monde	08	0	das Konglomerat	True	Konglomerat
23	die Breccie/Brekzie, n	la brèche	True	Monde	08	0	"die Breccie
die"	True	"Breccie
die"
24	das Korn, 'er	le grain	True	Monde	08	0	das Korn	True	Korn
25	Teinkörnig	à grains ins	True	Monde	08	0		False	
26	bröck(e)lig	friable	True	Monde	08	0		False	
27	blättrig	feuilleté	True	Monde	08	0		False	
28	das Sediment-, das Schichtgestein	les roches sédimentaires	True	Monde	08	0		False	
29	das Sediment, e	le sédiment	True	Monde	08	0	das Sediment	True	Sediment
30	die Schicht, en	la couche, la strate	True	Monde	08	0	die Schicht	True	Schicht
31	stratifiziert	stratifié	True	Monde	08	0		False	
32	das Trümmergestein	les roches détritiques	True	Monde	08	0	das Trümmergestein	True	Trümmergestein
33	das Eruptivgestein	les roches éruptives	True	Monde	08	0	das Eruptivgestein	True	Eruptivgestein
34	das Tiefengestein	les roches plutoniques	True	Monde	08	0	das Tiefengestein	True	Tiefengestein
35	das Ergussgestein	les roches volcaniques	True	Monde	08	0	das Ergussgestein	True	Ergussgestein
36	das metamorphe Gestein	les roches élamorphiques	True	Monde	08	0		False	
37	das Mineral, ien	le inéral	True	Monde	08	0	das Mineral	True	Mineral
38	amorph	amorphe	True	Monde	08	0		False	
39	kristallin, kristallisch	cristallin	True	Monde	08	0		False	
40	glasig	vitreux	True	Monde	08	0		False	
41	spröde	cassant	True	Monde	08	0		False	
42	spalten ; spaltbar	cliver ; clivable	True	Monde	08	0		False	
43	die Spaltbarkeit	le clivage	True	Monde	08	0	die Spaltbarkeit	True	Spaltbarkeit
44	porös	poreux	True	Monde	08	0		False	
45	wasserdurchlässig	perméable	True	Monde	08	0		False	
46	wasserundurchlässig	imperméable	True	Monde	08	0		False	
47	der Alabaster	| l'albätre 	True	Monde	08	0	der Alabaster	True	Alabaster
48	der Alaun, &	Palun 	True	Monde	08	0	der Alaun	True	Alaun
49	der Asbest, e	Famiante 	True	Monde	08	0	der Asbest	True	Asbest
50	der Apatit, e	lapatite	True	Monde	08	0	der Apatit	True	Apatit
51	dar Aragonit	l'aragonite \(	True	Monde	08	0		False	
52	der Ton ; tonig, lehmig	l'argile ; ; argileux	True	Monde	08	0	der Ton	True	Ton
53	der Aventurin, e	l'aventurine 	True	Monde	08	0	der Aventurin	True	Aventurin
54	der Azurit/die Kupferlasur, on	Pazurite	True	Monde	08	0	"der Azurit
die"	True	"Azurit
die"
55	der Basalt, e	le basalte	True	Monde	08	0	der Basalt	True	Basalt
56	der Biotit,.e	la biotite	True	Monde	08	0	der Biotit	True	Biotit
57	die Zinkblende, n	la blende	True	Monde	08	0	die Zinkblende	True	Zinkblende
58	der Kalkstein, e ; kalkhaltig	le calcaire ; calcaire	True	Monde	08	0	der Kalkstein	True	Kalkstein
59	der Ghalzedon, e	la calcédoine	True	Monde	08	0	der Ghalzedon	True	Ghalzedon
0	der Kalkspat, e/”e	la calcite	True	Monde	08	1	der Kalkspat	True	Kalkspat
1	der Karneol, e	la cornaline à	True	Monde	08	1	der Karneol	True	Karneol
2	der Zinnober, -	le cinabre, le vermillon	True	Monde	08	1	der Zinnober	True	Zinnober
3	die Kreide, n ; kreidig	la craie ; crayeux	True	Monde	08	1	die Kreide	True	Kreide
4	der (Berg)kristall, e	le cristal 	True	Monde	08	1	der (Berg)kristall	True	(Berg)kristall
5	der Diorit, e	la diorite	True	Monde	08	1	der Diorit	True	Diorit
6	der Dolomit, e	la dolomite	True	Monde	08	1	der Dolomit	True	Dolomit
7	der Meerschaum	l'écume de er	True	Monde	08	1	der Meerschaum	True	Meerschaum
8	der Schmirgel	l'émeri 	True	Monde	08	1	der Schmirgel	True	Schmirgel
9	der Feldspat, e/”e	le eldspath	True	Monde	08	1	der Feldspat	True	Feldspat
10	"der Flussspat, e/""e, der Fluorit, &"	la luorine	True	Monde	08	1	der Flussspat	True	Flussspat
11	der Bleiglanz	la galène	True	Monde	08	1	der Bleiglanz	True	Bleiglanz
12	der Gneis, e	le gneiss	True	Monde	08	1	der Gneis	True	Gneis
13	der Granit, e	le granit	True	Monde	08	1	der Granit	True	Granit
14	granithaltig ; Granit-	graniteux ; granitique	True	Monde	08	1		False	
15	der Graphit, e	le graphite	True	Monde	08	1	der Graphit	True	Graphit
16	der Kies, &	le gravier	True	Monde	08	1	der Kies	True	Kies
17	der Sandstein, e	le grès	True	Monde	08	1	der Sandstein	True	Sandstein
18	der Gips, e ; der gebrannte G.	le gypse ; le plâtre	True	Monde	08	1	der Gips	True	Gips
19	das Kaolin, e	le kaolin	True	Monde	08	1	das Kaolin	True	Kaolin
20	der Leuzit, e	la leucite	True	Monde	08	1	der Leuzit	True	Leuzit
21	der Löss/Löß, e	le lœss	True	Monde	08	1	"der Löss
der"	True	"Löss
der"
22	das Magneteisenerz	la agnétite	True	Monde	08	1	das Magneteisenerz	True	Magneteisenerz
23	der Marmor, e	le arbre	True	Monde	08	1	der Marmor	True	Marmor
24	marmoriert	marbré, jaspé	True	Monde	08	1		False	
25	marmorn	marmoréen, de arbre	True	Monde	08	1		False	
26	der Markasit, e	la arcassite	True	Monde	08	1	der Markasit	True	Markasit
27	der Mergel, -	la marne	True	Monde	08	1	der Mergel	True	Mergel
28	der Mühlstein, e	la eulière	True	Monde	08	1	der Mühlstein	True	Mühlstein
29	der Glimmer, -	le ica	True	Monde	08	1	der Glimmer	True	Glimmer
